rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_eccen,koi_fittype,koi_prad,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec
1257,5542466,K01590.03,,CANDIDATE,CANDIDATE,4.74664825,0,MCMC,1.73,82.51,857,127.67,3,4962,4.536,0.767,294.36487,40.720879
1258,10028140,K01591.01,,CANDIDATE,CANDIDATE,19.65644811,0,MCMC,2.56,88.81,550,21.62,1,5284,4.608,0.741,297.73984,46.94191
1259,6048024,K01684.01,,CANDIDATE,CANDIDATE,62.81583395,0,MCMC,50.42,88.81,535,19.31,1,6428,4.377,1.156,293.53448,41.329899
1260,6049190,K01685.01,,CANDIDATE,CANDIDATE,70.4680266,0,MCMC,3.57,89.95,514,16.48,1,6458,4.387,1.142,293.87988,41.393822
1262,6198999,K01687.01,Kepler-928 b,CONFIRMED,CANDIDATE,3.932461302,0,MCMC,1.8,87.66,894,151.31,1,4841,4.533,0.779,289.92072,41.542831
1263,6310636,K01688.01,Kepler-929 b,CONFIRMED,CANDIDATE,0.921032135,0,MCMC,0.86,89.38,1762,2278.48,1,5738,4.492,0.819,298.48111,41.615341
1264,6616218,K01692.01,Kepler-314 c,CONFIRMED,CANDIDATE,5.96040108,0,MCMC,2.87,85.94,907,159.81,1,5497,4.533,0.909,294.6741,42.075581
1265,7761545,K01472.01,Kepler-857 b,CONFIRMED,CANDIDATE,85.35129427,0,MCMC,5.56,89.95,370,4.43,1,5635,4.569,0.804,294.63239,43.400471
1266,7499398,K01473.01,,CANDIDATE,CANDIDATE,23.02030318,0,MCMC,8.22,88.81,601,30.83,1,5610,4.504,0.95,280.36023,43.12368
1267,12365184,K01474.01,Kepler-419 b,CONFIRMED,CANDIDATE,69.7266406,0,MCMC,30.64,88.81,551,21.75,1,6287,4.241,1.423,295.41788,51.184761
1268,4770365,K01475.01,,CANDIDATE,CANDIDATE,1.60932168,0,MCMC,1.81,89.38,897,152.74,1,4056,4.697,0.56,297.43039,39.847839
1269,4770365,K01475.02,,CANDIDATE,CANDIDATE,9.51221128,0,MCMC,2.4,88.81,496,14.29,2,4056,4.697,0.56,297.43039,39.847839
