"","rowid","pl_radj","pl_bmassj","pl_rade","pl_bmasse","pl_dens","pl_orbsmax","pl_eqt","st_age","pl_discmethod","cluster","density","mass_gr","radius_cm","volume_cm3"
"86",198,1.318,1.484,14.773,471.65972,0.8,0.03159,1778,4.67,"Transit",3,0.80383405587996,2816913960000000247884088686468,9422645600,3504347619256208035424486266000
"87",199,0.944,0.76,10.581,241.5508,1.118,0.04117,818,3.9,"Transit",3,1.12040836116704,1442624400000000176582604800886,6748844800,1287588034863761565844448688822
"88",200,1.182,0.582,13.249,184.97706,0.435,0.04604,1313,4.2,"Transit",3,0.437068277805985,1104746579999999886322040286224,8450354400,2527629288370357496004828084220
"89",201,1.466,2.18,16.432,692.8694,0.86,0.0423,1840,2.01,"Transit",4,0.858090935771945,4138054200000000610028468484266,10480727200,4822395887770769466026662840468
"90",202,1.413,1.85,15.838,587.9855,NA,0.0406,2200,1,"Transit",4,0.81324981770356,3511651500000000200006604606068,10101819600,4318047694023636657288824800444
"91",203,1.33,1.057,14.908,335.932,0.558,0.05235,NA,2.3,"Transit",3,0.557184204436294,2006386829999999926242000462800,9508436000,3600939893889979914240022864806
"92",204,1.89,0.527,21.185,167.49641,0.096,0.03951,1930,5.46,"Transit",3,0.096806369772937,1000346130000000099446482664262,13511988000,10333474257389777824004664828402
"93",205,1.59,0.783,17.822,248.86089,0.242,0.04363,1896,4.66,"Transit",3,0.241573405039982,1486282770000000056744240466664,11367228000,6152509916205424673280664060086
"94",206,1.491,1.682,16.713,534.59006,0.629,0.03676,2700,NA,"Transit",4,0.629320375101999,3192755579999999704842424846826,10659457200,5073338964247780691626480040606
"95",207,1.5,1.52,16.81,483.08,0.568,0.0487,1700,NA,"Transit",3,0.558532620277383,2885248800000000353064208600662,10723800000,5165765964693525056000648448642
"96",208,1.4,0.78,15.69,247.9,0.35,0.053,1530,NA,"Transit",3,0.352524436780778,1480588200000000047842880446442,10008880000,4199959053961195933640468068842
"97",209,1.302,1.855,14.594,589.55,1.03,0.0444,1359,NA,"Transit",4,1.04229269263483,3521142450000000308680662628260,9308258400,3378266464767065463266600402224
"98",210,0.969,0.526,10.862,167.17858,0.7,0.04491,1407,3.3,"Transit",3,0.716957058465623,998447940000000049600606480862,6927574800,1392618885902040115840466484822
"99",211,1.51,0.85,16.926,270.1555,0.299,0.04614,1637,7.7,"Transit",3,0.306172947815915,1613461499999999878982842480284,10795292000,5269771583380012238084820828404
"100",212,1.35,2.38,15.132,756.4354,1.19,0.04795,2097,2.36,"Transit",4,1.19964951651521,4517692199999999886080264628848,9651420000,3765843388261580833280688622404
"101",213,1.212,0.543,13.585,172.58169,0.377,0.04057,1244,2.5,"Transit",3,0.3782428279012,1030717170000000052800080642044,8664830400,2725014445665128380260244624866
"102",214,1.039,1.071,11.646,340.39593,1.191,0.03815,1276,4.9,"Transit",3,1.18419046513129,2032961490000000061482260844628,7428018800,1716752118735058483840448060644
"103",215,1.105,2.17,12.386,689.6911,1.97,0.02712,1505,11,"Transit",4,1.99458078788172,4119072299999999830086086686640,7899866000,2065131843756771226084624802080
"104",216,1.3,3.27,14.572,1039.3041,1.86,0.03744,1592,9.5,"Transit",4,1.84585009179272,6207081300000000070406288642246,9293960000,3362722318350126176206240428426
"105",217,0.777,1.338,8.709,425.25654,3.5,0.1308,814,2.1,"Transit",3,3.5372991422445,2539778220000000004066002866468,5554928400,717999275116000471842204462424
"106",218,1.337,1.98,14.986,629.3034,1.02,0.01761,2060,4.2,"Transit",4,1.02742398547369,3758416200000000208008802620400,9558480400,3658096611660456546028268228088
"107",219,1.168,1.345,13.092,427.463,1.05,0.023,1577,9.7,"Transit",3,1.04682114807772,2553065549999999931080420868484,8350265600,2438874639367197714402028460662
"108",220,1.26,0.613,14.123,194.82979,0.38,0.05163,1277,7.5,"Transit",3,0.380038478679288,1163590470000000024666000424844,9007992000,3061770150337711551884888846064
"109",221,1.75,0.65,19.616,206.5895,0.153,0.04735,1918,4.04,"Transit",3,0.150410426359799,1233823500000000039948628480660,12511100000,8203045027267960667284680062202
"110",222,1.5,0.53,16.814,168.4499,0.18,0.0611,1659,2.3,"Transit",3,0.194751505754614,1006040700000000108348842604084,10723800000,5165765964693525056000648448642
"111",223,1.194,0.672,13.384,213.58176,0.48,0.04131,1253,6.2,"Transit",3,0.489592802269062,1275583680000000010980466408426,8536144800,2605397126118261641442846680842
"112",224,1.251,0.653,14.022,207.54299,0.411,0.05475,1212,5.5,"Transit",3,0.413637575553714,1239518070000000048720488406802,8943649200,2996628312456200207848448268464
"113",225,1.381,1.071,15.48,340.382,0.51,0.0485,1648,3.2,"Transit",3,0.504297908326241,2032961490000000061482260844628,9873045200,4031270914343819487246086242040
"114",226,1.175,0.706,13.171,224.38798,0.543,0.04354,1414,2.3,"Transit",3,0.539721642031832,1340122140000000017380624444400,8400310000,2482987591446185246448482668802
"115",227,1.64,0.88,18.383,279.6904,0.243,0.0478,1823,4.3,"Transit",3,0.247417184069512,1670407199999999967360442424004,11724688000,6751379077738998919248046206242
"116",228,1.249,0.92,14,292.4036,0.58,0.04024,1437,3.5,"Transit",3,0.585570573282936,1746334799999999991524820820042,8929350800,2982278959493079904000264424440
"117",229,1.23,1.192,13.787,378.85336,0.79,0.03727,1429,3,"Transit",3,0.79440076339625,2262642480000000042822242222224,8793516000,2848238048421140116264200466808
"118",230,1.43,0.941,16.029,299.07803,0.4,0.03166,1445,7.7,"Transit",3,0.399080256590535,1786196790000000053446440802446,10223356000,4475783405724018276488022262402
"119",231,1.464,1.222,16.41,388.38826,0.484,0.03199,2037,2.13,"Transit",3,0.482977286827255,2319588180000000131200842206044,10466428800,4802685847273887044808880602402
"120",232,1.02,1.323,11.433,420.471,1.55,0.0362,1315,2.1,"Transit",3,1.54610171052585,2511305369999999959848202226008,7292184000,1624282123810514586182040820404
"121",233,0.912,0.237,10.223,75.323,0.39,0.0542,1025,3.6,"Transit",3,0.387473997024483,449871029999999995040642206648,6520070400,1161035407420060344588442426606
"122",234,0.998,0.319,11.187,101.38777,0.399,0.03623,713,8.1,"Transit",3,0.397995160247032,605522610000000002240804242026,7134901600,1521432093858018804008284662266
"123",235,0.873,0.138,9.785,43.86054,0.259,0.04667,1324,5.1,"Transit",3,0.257226131934797,261950220000000019824040482260,6241251600,1018365505983662741440688484282
"124",236,1.065,0.837,11.938,266.02371,0.85,0.03048,1823,10.8,"Transit",3,0.859320883749859,1588785029999999934406604446224,7613898000,1848884462189424506082826044626
"125",284,1.11,10.98,12.44,3489.63,NA,0.353,NA,NA,"Radial Velocity",5,9.95662465737869,20842126199999999720062642424884,7935612000,2093292347276970325860244088626
"126",354,0.813,0.368,9.113,116.957,0.85,NA,NA,2.6,"Radial Velocity",3,0.849287855025707,698533920000000052984662244860,5812299600,822493711485908130566880824086
"127",408,1.02,3.22,11.43,1023.37,3.78,0.1614,NA,2.8,"Radial Velocity",4,3.76299887217932,6112171800000000111822642620080,7292184000,1624282123810514586182040820404
"128",601,1.098,0.398,12.31,126,NA,0.0368,NA,NA,"Radial Velocity",3,0.372867716859545,755479620000000000666244200662,7849821600,2026133091818671906246646820202
"129",638,0.98,3.94,10.98,1252.2,NA,0.449,NA,NA,"Radial Velocity",4,5.19154623950163,7478868599999999982648024260442,7006216000,1440585955508690335864000086604
"130",672,0.209,0.02473,2.341,7.86,3.35,0.0796,NA,NA,"Radial Velocity",2,3.35941757384911,46942238700000001604266200002,1494182800,13973326527019135815280004666
"131",682,0.226,0.037,2.53,11.82,4.17,0.0906,690,2,"Radial Velocity",2,3.97516480260595,70233029999999997678486442420,1615719200,17667954283042121021840666084
"132",712,1.051,21.9987,11.777,6991.57,NA,773,NA,NA,"Imaging",1,23.4999858553316,41757712352999997780448206888444,7513809200,1776924999447443478086066420880
"133",713,1.11,30,12.442,9534.9,NA,20.3,1200,0.6,"Imaging",1,27.2038925064992,56945700000000002880048222662806,7935612000,2093292347276970325860244088626
"134",715,1.2,7,13,2000,NA,68,NA,NA,"Imaging",5,5.02380800516766,13287330000000001122464028460644,8579040000,2644872173923085666404020262624
"135",716,1.2,10,13,3000,NA,38,NA,NA,"Imaging",5,7.17686857881095,18981900000000000960002440426482,8579040000,2644872173923085666404020262624
"136",717,1.2,10,13,3000,NA,24,NA,NA,"Imaging",5,7.17686857881095,18981900000000000960002440426482,8579040000,2644872173923085666404020262624
"137",719,0.343,0.08495,3.84,27,2.6,NA,NA,NA,"Transit",2,2.61071674561965,161251240500000013542428026840,2452175600,61765122842435094566022282264
"138",734,0.223,1.4,2.5,444.962,NA,0.0088,2100,NA,"Transit",4,156.564097280439,2657465999999999999202808868882,1594271600,16973661562011407121044680080
"139",739,0.397,0.09156,4.45,29.1,1.8,NA,NA,NA,"Transit",2,1.81473408114553,173798276399999991280222022644,2838232400,95770657643841373354040688020
"140",741,1.19,0.73,13.339,232.0159,0.53,0.04217,1171,2.6,"Transit",3,0.537230558069315,1385678700000000088184004448666,8507548000,2579299854013919235468802088486
"141",745,1.039,0.579,11.646,184.02357,0.64,0.04839,1092,3.9,"Transit",3,0.64019260439871,1099052009999999877440280266402,7428018800,1716752118735058483840448060644
"142",746,1.06,1.774,11.882,563.83042,NA,0.022,NA,NA,"Transit",4,1.84720353681435,3367389060000000351262068684602,7578152000,1822965901097903533922264048008
"143",750,0.45,3.7,5.04,1175.971,NA,NA,NA,0.009,"Transit",4,50.3550364285165,7023303000000000400002208202026,3217140000,139475681046725214098820268468
"144",751,1.35,1.76,15.132,559.3808,0.94,0.04419,1742,NA,"Transit",4,0.88713577691881,3340814399999999934620884848008,9651420000,3765843388261580833280688622404
