rowid,epic_candname,pl_name,k2c_disp,ra_str,ra,dec_str,dec,pl_orbper,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,st_teff,st_logg,st_metfe,st_rad
313,EPIC 205071984.03,K2-32 c,CONFIRMED,16h49m42.26s,252.426083,-19d32m34.2s,-19.542821,20.6602,,,3.26,3.32,0.296,5428,4.45,,0.92
316,EPIC 205084841.01,,CANDIDATE,16h33m35.83s,248.39928,-19d28m45.1s,-19.479185,11.31009,,,11.9,130,11.6,4793,2.37,,10
317,EPIC 205111664.01,,CANDIDATE,16h14m43.23s,243.680112,-19d20m47.8s,-19.346616,15.937378,,,0.02135,1.84,0.164,4574,,,0.7
318,EPIC 205117205.01,K2-33 b,CONFIRMED,16h10m14.74s,242.561406,-19d19m09.4s,-19.319273,5.4252061,,,0.04747,0.868,0.077,2890,,,0.16
319,EPIC 205145448.01,,CANDIDATE,16h33m47.67s,248.448634,-19d10m40.0s,-19.17779,16.63091654,,,,,,,,,
324,EPIC 205148699.01,,CANDIDATE,16h52m38.52s,253.160483,-19d09m41.9s,-19.16165,4.37983009,,,,,,,,,
325,EPIC 205152172.01,,CANDIDATE,16h20m43.20s,245.180008,-19d08m38.9s,-19.14414,0.97988263,,,,,,,,,
328,EPIC 205242733.01,,CANDIDATE,16h27m31.18s,246.879897,-18d40m30.6s,-18.675165,2.4165066,,,0.02173,0.988,0.088,3483,,,0.38
329,EPIC 205252523.01,,CANDIDATE,16h28m10.43s,247.04344,-18d37m26.1s,-18.623918,4.4984354,,,0.04131,3.12,0.278,4309,,,0.66
330,EPIC 205463986.01,,CANDIDATE,16h06m06.63s,241.527636,-17d25m02.5s,-17.417355,2.3240489,,,0.4699,33.4,2.98,5107,,,0.78
331,EPIC 205489894.01,,CANDIDATE,16h29m53.84s,247.474335,-17d14m50.0s,-17.247229,14.658196,,,0.03059,1.6,0.143,3610,,,0.45
332,EPIC 205570849.01,,CANDIDATE,16h19m27.22s,244.863427,-16d41m21.0s,-16.689158,16.858,,,4.7,5.6,0.5,5957,4.35,,1.07
333,EPIC 205686202.01,,CANDIDATE,16h26m34.33s,246.643039,-15d47m32.6s,-15.792386,13.15628,,,7.82,3.2,0.29,3809,4.89,,0.38
335,EPIC 205703094.01,,CANDIDATE,16h29m21.34s,247.33893,-15d38m48.3s,-15.646748,8.1191,,,45,57,5.1,6040,4.32,,1.2
336,EPIC 205703094.02,,CANDIDATE,16h29m21.34s,247.33893,-15d38m48.3s,-15.646748,16.235,,,8.6,11,1,6040,4.32,,1.2
338,EPIC 205904628.01,,CANDIDATE,,,,,9.975403,,,0.01516,2.13,0.19,6063,,,1.18
339,EPIC 205916793.01,K2-54 b,CONFIRMED,22h32m13.00s,338.054185,-17d32m38.4s,-17.543994,9.7843,,,2.72,1.15,0.103,3798,4.89,,0.38
342,EPIC 205924614.01,K2-55 b,CONFIRMED,22h15m00.46s,333.751927,-17d15m02.5s,-17.250707,2.84947127,,,,,,,,,
345,EPIC 205944181.01,,CANDIDATE,22h15m41.98s,333.924909,-16d33m48.7s,-16.563539,2.475527,,,38,42,3.7,5962,4.4,,1.06
346,EPIC 205947161.01,,CANDIDATE,22h43m50.33s,340.959693,-16d27m44.8s,-16.462458,17.72507,,,31,45,4,6189,4.15,,1.33
348,EPIC 205947214.01,,CANDIDATE,22h18m27.99s,334.61663,-16d27m39.3s,-16.460911,54.169832,,,0.4052,22,1.963,3836,,,0.55
349,EPIC 205950854.01,,CANDIDATE,22h12m26.37s,333.109888,-16d20m30.3s,-16.341755,15.85412,,,0.02208,2.34,0.209,5495,,,0.88
350,EPIC 205957328.01,,CANDIDATE,22h39m36.59s,339.902444,-16d07m47.2s,-16.129775,14.353347,,,0.02383,2.19,0.195,5162,,,0.79
351,EPIC 205976958.01,,CANDIDATE,22h37m14.32s,339.309679,-15d30m50.9s,-15.514149,2.3181466,,,0.03644,2.9,0.259,4343,,,0.67
354,EPIC 205996447.01,,CANDIDATE,22h38m54.39s,339.726635,-14d55m32.4s,-14.925673,0.80032756,,,0.3618,21.3,1.9,4028,,,0.61
357,EPIC 205999468.01,,CANDIDATE,22h21m37.59s,335.40662,-14d50m22.1s,-14.83948,12.25823207,,,,,,,,,
